TimeStamp,Message,SourceIP,EventID,TargetUserName,Task
1/4/2024 6:00,An account failed to log on,192.168.0.1,4625,RAHDELHI,LoginFailure
1/4/2024 6:01,An account failed to log on,192.168.0.1,4625,RAHDELHI,LoginFailure
1/4/2024 6:02,An account failed to log on,192.168.0.1,4625,RAHDELHI,LoginFailure
1/4/2024 6:03,An account was successfully logged on.,127.041.131.029,4624,ram,LogOn
1/4/2024 6:04,An account was logged off.,140.150.133.051,4634,SKY$,logOff
1/4/2024 6:05,An account was logged off.,045.144.106.101,4634,SKY$,logOff
1/4/2024 6:06,An account was successfully logged on.,113.215.021.231,4624,RAHDELHI,LogOn
1/4/2024 6:07,An account was logged off.,094.172.024.049,4634,ram,logOff
1/4/2024 6:08,An account failed to log on.,070.115.243.040,4625,RAHDELHI,LoginFailure
1/4/2024 6:09,An account was logged off.,169.200.065.038,4634,nimmi.adp,logOff
1/4/2024 6:10,An account was logged off.,154.020.040.051,4634,Ram,logOff
1/4/2024 6:11,An account failed to log on.,212.098.158.235,4625,ram,LoginFailure
1/4/2024 6:12,An account was logged off.,115.004.103.009,4634,arcsight,logOff
1/4/2024 6:13,An account was logged off.,002.022.013.183,4634,rekha.y,logOff
1/4/2024 6:14,Login failure,096.180.147.240,4625,rekha.y,LoginFailure
1/4/2024 6:15,An account failed to log on,10.20.30.40,4625,arcsight,LoginFailure
1/4/2024 6:16,An account failed to log on,10.20.30.40,4625,arcsight,LoginFailure
1/4/2024 6:17,An account failed to log on,10.20.30.40,4625,arcsight,LoginFailure
1/4/2024 6:18,An account was successfully logged on.,156.017.065.098,4634,arcsight,LogOn
1/4/2024 6:19,An account was logged off.,199.020.070.086,4625,rekha.y,logOff
1/4/2024 6:20,An account was logged off.,067.167.041.176,4634,RAHDELHI,logOff
1/4/2024 6:21,An account was successfully logged on.,126.078.205.141,4624,RAHDELHI,LogOn
1/4/2024 6:22,An account was logged off.,225.170.248.043,4634,RAHDELHI,logOff
1/4/2024 6:23,An account failed to log on.,093.058.152.142,4634,rekha.y,LoginFailure
1/4/2024 6:24,An account was logged off.,199.139.150.025,4625,arcsight,logOff
1/4/2024 6:25,An account was logged off.,029.013.112.146,4634,nimmi.adp,logOff
1/4/2024 6:26,An account failed to log on.,174.093.237.047,4625,rekha.y,LoginFailure
1/4/2024 6:27,An account was logged off.,004.090.128.160,4624,arcsight,logOff
1/4/2024 6:28,An account was logged off.,239.166.082.195,4634,nimmi.adp,logOff
1/4/2024 6:29,An account failed to log on.,149.045.209.109,4625,rekha.y,LoginFailure
1/4/2024 6:30,An account failed to log on,172.16.254.1,4625,SKY$,LoginFailure
1/4/2024 6:31,An account failed to log on,172.16.254.1,4625,SKY$,LoginFailure
1/4/2024 6:32,An account failed to log on,172.16.254.1,4625,SKY$,LoginFailure
1/4/2024 6:33,An account was successfully logged on.,033.058.092.003,4625,ram,LogOn
1/4/2024 6:34,An account was logged off.,227.145.095.115,4634,RAHDELHI,logOff
1/4/2024 6:35,An account was logged off.,166.084.121.090,4624,ram,logOff
1/4/2024 6:36,An account was successfully logged on.,217.049.083.232,4624,ram,LogOn
1/4/2024 6:37,An account was logged off.,004.079.120.203,4624,nimmi.adp,logOff
1/4/2024 6:38,An account failed to log on.,075.161.050.123,4634,Ram,LoginFailure
1/4/2024 6:39,An account was logged off.,244.011.013.184,4624,ram,logOff
