Timestamp,Message,Source_Ip,EventID,targetUserName,task
1/4/2024 6:00,An account failed to log on,192.168.0.1,4625,Priyansh,LoginFailure
1/4/2024 6:01,An account failed to log on,192.168.0.1,4625,Priyansh,LoginFailure
1/4/2024 6:02,An account failed to log on,192.168.0.1,4625,Priyansh,LoginFailure
1/4/2024 6:03,An account failed to log on.,070.151.140.135,4625,Priyansh,LogOn
1/4/2024 6:04,An account failed to log on.,078.046.065.089,4625,kirtan,LoginFailure
1/4/2024 6:05,An account was successfully logged on.,201.123.228.057,4624,kirtan,Logon
1/4/2024 6:06,An account was logged off.,204.070.212.187,4634,ramesh,Logoff
1/4/2024 6:07,An account failed to log on.,091.034.035.199,4625,Priyansh,LoginFailure
1/4/2024 6:08,An account was logged off.,143.091.015.057,4634,suresh,Logoff
1/4/2024 6:09,An account failed to log on.,090.158.073.028,4625,pratham,LoginFailure
1/4/2024 6:10,An account was logged off.,095.172.134.032,4634,pratham,Logoff
1/4/2024 6:11,An account failed to log on.,098.012.056.248,4625,Priyansh,LoginFailure
1/4/2024 6:12,An account was logged off.,145.191.138.168,4634,dinesh,Logoff
1/4/2024 6:13,An account was logged off.,001.002.200.178,4634,kirtan,Logoff
1/4/2024 6:14,Login failure,022.153.162.241,4624,vishal,Logon
1/4/2024 6:15,An account failed to log on,10.20.30.40,4625,suresh,LoginFailure
1/4/2024 6:16,An account failed to log on,10.20.30.40,4625,suresh,LoginFailure
1/4/2024 6:17,An account failed to log on,10.20.30.40,4625,suresh,LoginFailure
1/4/2024 6:18,An account failed to log on.,246.070.235.148,4634,Priyansh,Logoff
1/4/2024 6:19,An account failed to log on.,115.148.181.088,4634,pratham,LoginFailure
1/4/2024 6:20,An account was successfully logged on.,105.215.072.148,4634,pratham,Logoff
1/4/2024 6:21,An account was logged off.,043.020.138.055,4624,ramesh,LoginFailure
1/4/2024 6:22,An account failed to log on.,026.073.036.229,4625,suresh,Logoff
1/4/2024 6:23,An account was logged off.,147.047.202.180,4625,kirtan,Logoff
1/4/2024 6:24,An account failed to log on.,214.255.118.078,4625,pratham,Logon
1/4/2024 6:25,An account was logged off.,120.135.084.254,4634,dinesh,LoginFailure
1/4/2024 6:26,An account failed to log on.,171.061.161.091,4634,dinesh,LoginFailure
1/4/2024 6:27,An account was logged off.,141.235.035.173,4624,ramesh,LoginFailure
1/4/2024 6:28,An account was logged off.,111.237.034.148,4625,suresh,Logoff
1/4/2024 6:29,An account was successfully logged on.,016.134.199.004,4625,suresh,Logoff
1/4/2024 6:30,An account failed to log on,172.16.254.1,4625,dinesh,LoginFailure
1/4/2024 6:31,An account failed to log on,172.16.254.1,4625,dinesh,LoginFailure
1/4/2024 6:32,An account failed to log on,172.16.254.1,4625,dinesh,LoginFailure
1/4/2024 6:33,An account failed to log on.,115.105.236.091,4634,ramesh,LoginFailure
1/4/2024 6:34,An account failed to log on.,036.172.057.235,4625,vishal,LoginFailure
1/4/2024 6:35,An account was successfully logged on.,067.237.123.217,4625,pratham,LogOn
1/4/2024 6:36,An account was logged off.,167.100.029.127,4624,dinesh,logOff
1/4/2024 6:37,An account failed to log on.,250.129.046.221,4634,ramesh,LoginFailure
1/4/2024 6:38,An account was logged off.,058.224.108.072,4625,dinesh,logOff
1/4/2024 6:39,An account failed to log on.,005.234.197.098,4624,ramesh,LoginFailure
1/4/2024 6:40,An account was logged off.,140.067.207.031,4624,Priyansh,logOff
1/4/2024 6:41,An account failed to log on.,174.200.010.044,4634,ramesh,LoginFailure
1/4/2024 6:42,An account was logged off.,071.191.241.242,4625,suresh,logOff
1/4/2024 6:43,An account was logged off.,004.132.184.144,4634,dinesh,logOff
1/4/2024 6:44,An account was successfully logged on.,060.223.084.173,4625,dinesh,LogOn
1/4/2024 6:45,An account failed to log on.,091.015.189.188,4624,dinesh,LoginFailure
1/4/2024 6:46,An account failed to log on.,221.130.134.088,4634,pratham,LoginFailure
1/4/2024 6:47,An account failed to log on,203.0.113.99,4625,nimmi.adp,LoginFailure
1/4/2024 6:48,An account failed to log on,203.0.113.99,4625,nimmi.adp,LoginFailure
1/4/2024 6:49,An account failed to log on,203.0.113.99,4625,nimmi.adp,LoginFailure
1/4/2024 6:50,An account failed to log on.,047.158.033.242,4625,ramesh,LoginFailure
1/4/2024 6:51,An account failed to log on.,062.100.024.143,4625,vishal,Logon
1/4/2024 6:52,An account was successfully logged on.,102.225.243.153,4625,suresh,Logoff
1/4/2024 6:53,An account was logged off.,072.036.145.137,4625,ramesh,LoginFailure
1/4/2024 6:54,An account failed to log on.,020.214.221.186,4634,kirtan,Logoff
1/4/2024 6:55,An account was logged off.,025.064.228.028,4625,vishal,LoginFailure
1/4/2024 6:56,An account failed to log on.,021.171.079.236,4625,dinesh,Logoff
1/4/2024 6:57,An account was logged off.,214.177.201.171,4634,Priyansh,LoginFailure
1/4/2024 6:58,An account failed to log on.,026.034.011.088,4634,Priyansh,Logoff
1/4/2024 6:59,An account was logged off.,010.171.252.033,4634,suresh,Logoff
1/4/2024 7:00,An account was logged off.,245.233.139.178,4624,ramesh,Logon
1/4/2024 7:01,An account was successfully logged on.,092.157.020.066,4625,vishal,LoginFailure
1/4/2024 7:02,An account failed to log on.,103.082.221.069,4625,suresh,LoginFailure
1/4/2024 7:03,An account failed to log on.,095.138.118.029,4634,vishal,LoginFailure
1/4/2024 7:04,An account failed to log on.,223.177.250.108,4634,Priyansh,Logoff
1/4/2024 7:05,An account was logged off.,022.195.107.189,4624,suresh,Logoff
1/4/2024 7:06,An account was logged off.,142.178.100.089,4625,kirtan,Logoff
1/4/2024 7:07,An account was logged off.,144.102.221.018,4625,suresh,Logon
1/4/2024 7:08,An account was successfully logged on.,194.069.202.025,4634,kirtan,LoginFailure
1/4/2024 7:09,An account failed to log on.,138.177.066.247,4634,ramesh,LoginFailure
1/4/2024 7:10,An account failed to log on.,215.212.254.143,4625,pratham,LoginFailure
1/4/2024 7:11,An account failed to log on.,186.075.250.104,4634,vishal,Logoff
1/4/2024 7:12,An account was logged off.,122.183.077.237,4634,pratham,Logoff
1/4/2024 7:13,An account was logged off.,240.146.202.248,4624,ramesh,Logon
1/4/2024 7:14,An account was successfully logged on.,037.117.194.131,4624,vishal,LoginFailure
1/4/2024 7:15,An account failed to log on.,255.075.050.038,4634,ramesh,LoginFailure
1/4/2024 7:16,An account failed to log on.,046.232.156.192,4634,Priyansh,LoginFailure
1/4/2024 7:17,An account failed to log on.,067.011.188.080,4634,pratham,LoginFailure
1/4/2024 7:18,An account failed to log on.,075.039.102.206,4624,kirtan,LoginFailure
1/4/2024 7:19,An account failed to log on.,060.218.211.092,4624,kirtan,Logoff
1/4/2024 7:20,An account was logged off.,026.052.058.243,4634,ramesh,LoginFailure
1/4/2024 7:21,An account failed to log on.,190.227.112.141,4634,kirtan,LoginFailure
1/4/2024 7:22,An account failed to log on.,130.174.189.158,4624,Priyansh,Logon
1/4/2024 7:23,An account was successfully logged on.,043.160.247.128,4634,dinesh,Logoff
1/4/2024 7:24,An account was logged off.,087.064.168.214,4634,suresh,LoginFailure
1/4/2024 7:25,An account failed to log on.,060.189.060.218,4625,suresh,Logon
1/4/2024 7:26,An account was successfully logged on.,252.112.014.007,4624,Priyansh,Logon
1/4/2024 7:27,An account was successfully logged on.,077.020.153.091,4624,pratham,Logoff
1/4/2024 7:28,An account was logged off.,093.202.234.180,4625,Priyansh,LoginFailure
1/4/2024 7:29,An account failed to log on.,213.136.096.062,4634,kirtan,Logoff
1/4/2024 7:30,An account was logged off.,180.056.157.178,4634,kirtan,LoginFailure
1/4/2024 7:31,An account failed to log on.,067.096.071.101,4625,kirtan,Logon
1/4/2024 7:32,An account was successfully logged on.,127.098.123.078,4634,pratham,Logoff
1/4/2024 7:33,An account was logged off.,131.075.040.219,4634,suresh,LoginFailure
1/4/2024 7:34,An account failed to log on.,042.088.110.007,4634,Priyansh,LoginFailure
1/4/2024 7:35,An account failed to log on.,215.227.143.047,4625,Priyansh,LoginFailure
1/4/2024 7:36,An account failed to log on.,202.035.237.232,4625,dinesh,LoginFailure
1/4/2024 7:37,An account failed to log on.,033.098.014.118,4624,suresh,LoginFailure
1/4/2024 7:38,An account failed to log on.,222.072.251.028,4634,pratham,LoginFailure
1/4/2024 7:39,An account failed to log on.,074.051.123.226,4625,pratham,LoginFailure
1/4/2024 7:40,An account failed to log on.,077.166.016.187,4625,kirtan,Logoff
1/4/2024 7:41,An account was logged off.,209.168.163.024,4624,kirtan,LoginFailure
1/4/2024 7:42,An account failed to log on.,233.061.133.155,4625,pratham,LoginFailure
1/4/2024 7:43,An account failed to log on.,146.249.230.173,4634,ramesh,Logoff
1/4/2024 7:44,An account was logged off.,140.170.252.135,4625,Priyansh,Logoff
1/4/2024 7:45,An account was logged off.,037.217.255.254,4634,ramesh,Logoff
1/4/2024 7:46,An account was logged off.,191.124.191.060,4625,pratham,Logon
1/4/2024 7:47,An account was successfully logged on.,196.075.253.049,4634,kirtan,LoginFailure
1/4/2024 7:48,An account failed to log on.,133.179.192.061,4634,suresh,LoginFailure
1/4/2024 7:49,An account failed to log on.,255.122.151.018,4624,dinesh,Logoff
1/4/2024 7:50,An account was logged off.,051.077.073.119,4634,ramesh,Logoff
1/4/2024 7:51,An account was logged off.,046.126.041.036,4625,pratham,Logon
1/4/2024 7:52,An account was successfully logged on.,141.037.096.099,4625,dinesh,LoginFailure
1/4/2024 7:53,An account failed to log on.,221.110.088.189,4634,Priyansh,LoginFailure
1/4/2024 7:54,An account failed to log on.,121.059.162.120,4625,vishal,Logoff
1/4/2024 7:55,An account was logged off.,196.106.177.240,4625,pratham,Logoff
1/4/2024 7:56,An account was logged off.,106.093.031.108,4634,vishal,LoginFailure
1/4/2024 7:57,An account failed to log on.,228.205.061.249,4624,dinesh,Logoff
1/4/2024 7:58,An account was logged off.,200.172.246.068,4625,kirtan,Logoff
1/4/2024 7:59,An account was logged off.,247.008.161.245,4625,dinesh,Logon
1/4/2024 8:00,An account was successfully logged on.,062.229.226.066,4625,ramesh,Logon
1/4/2024 8:01,An account was successfully logged on.,006.049.188.203,4634,vishal,Logoff
1/4/2024 8:02,An account was logged off.,247.188.107.095,4624,Priyansh,Logoff
1/4/2024 8:03,An account was logged off.,246.022.168.221,4624,vishal,Logoff
1/4/2024 8:04,An account was logged off.,146.085.047.135,4625,suresh,Logon
1/4/2024 8:05,An account was successfully logged on.,161.216.072.113,4625,ramesh,Logon
1/4/2024 8:06,An account was successfully logged on.,125.160.052.110,4634,kirtan,Logoff
1/4/2024 8:07,An account was logged off.,063.106.200.056,4634,pratham,Logoff
1/4/2024 8:08,An account was logged off.,133.033.195.121,4634,suresh,Logon
1/4/2024 8:09,An account was successfully logged on.,151.200.188.041,4624,kirtan,Logoff
1/4/2024 8:10,An account was logged off.,157.192.044.232,4624,dinesh,Logoff
1/4/2024 8:11,An account was logged off.,250.055.071.110,4624,ramesh,LoginFailure
1/4/2024 8:12,An account failed to log on.,141.240.079.219,4634,suresh,Logon
1/4/2024 8:13,An account was successfully logged on.,102.134.228.179,4625,dinesh,Logon
1/4/2024 8:14,An account was successfully logged on.,209.249.181.234,4634,vishal,LoginFailure
1/4/2024 8:15,An account failed to log on.,142.130.032.091,4634,vishal,Logoff
1/4/2024 8:16,An account was logged off.,159.058.159.192,4634,vishal,Logoff
1/4/2024 8:17,An account was logged off.,152.190.144.165,4625,dinesh,LoginFailure
1/4/2024 8:18,An account failed to log on.,240.030.251.165,4625,ramesh,Logoff
1/4/2024 8:19,An account was logged off.,096.083.003.233,4624,kirtan,Logoff
1/4/2024 8:20,An account was logged off.,034.140.234.202,4634,vishal,Logoff
1/4/2024 8:21,An account was logged off.,087.141.204.084,4624,dinesh,LoginFailure
1/4/2024 8:22,An account failed to log on.,239.163.173.059,4624,dinesh,LoginFailure
1/4/2024 8:23,An account failed to log on.,164.006.203.246,4634,suresh,Logon
1/4/2024 8:24,An account was successfully logged on.,056.234.099.197,4634,kirtan,Logoff
